text,top_class,hate_speech,offensive_language,neither
why does symfunny look like Lewis from meet the robinsons,neither,0.028335265441908012,0.42686894231402556,0.5447957922440664
Josh got exposed,neither,0.03825711671885351,0.37334812267687845,0.5883947606042682
LET'S GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,neither,0.01259774405356427,0.402817721707079,0.5845845342393566
Andy ruiz,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Saw it on Instagram,neither,0.033196806783237644,0.3752106316319923,0.5915925615847701
Papi chulo,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Notice me,neither,0.030417710561350883,0.38017139541472955,0.5894108940239196
OHVER,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
!16cents,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"You, too, can be a sub for just 16 CENTS A DAY!",neither,0.04204809728502272,0.3433120471286595,0.6146398555863178
ceezRare,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Smith Gustafsson?,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceez numba one1,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
I think he gave him the win,neither,0.04412295080657952,0.3071011510270984,0.6487758981663221
Sorry six months lol,neither,0.032658868812055306,0.3790665732314105,0.588274557956534
ceezRare,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
